,tweet_vader_score,tweet_neg_score,tweet_pos_score,tweet_neu_score,tweet_source,tweet_text,tweet_date
30,0.5719,0.0,0.188,0.812,fantastic ms.,Friday is one of my favourite days because of @girlsnightinHQ. A perfect encapsulation of self-care and womanhood.… https://t.co/HhI1mGfXe8,Wed Aug 08 01:54:45 +0000 2018
31,0.9201,0.0,0.464,0.536,fantastic ms.,"I love @offscreenmag Dispatch. Great productivity tools, services and design objects all wrapped up in a lovely des… https://t.co/lR8tsWKGNw",Wed Aug 08 01:50:21 +0000 2018
32,0.0,0.0,0.0,1.0,fantastic ms.,Here are my favourite newsletters (it’s now the primary way I discover content as I’ve mostly ditched reading social media). ↓,Wed Aug 08 01:48:16 +0000 2018
33,0.4019,0.0,0.153,0.847,fantastic ms.,RT @6Gems: Black women are paid 38% less than white men. I support equal pay—because #38PercentCounts. https://t.co/mXFOdcL8Q3,Tue Aug 07 23:32:22 +0000 2018
34,0.0,0.0,0.0,1.0,fantastic ms.,"If you’re up for a conference-grade talk about UX and groundbreaking performance strategies, come to see… https://t.co/x2sghiw62F",Tue Aug 07 23:32:15 +0000 2018
35,0.4404,0.0,0.132,0.868,fantastic ms.,"RT @Calibreapp: Scheduler 2.0

Our longest standing feature request was to improve Calibre’s test scheduler. That’s exactly what we’ve done…",Tue Aug 07 23:28:56 +0000 2018
36,0.7574,0.0,0.245,0.755,fantastic ms.,"RT @fox: Hey #dddperth, here are the slides with all the references from my keynote about building a welcoming, ethical Web! Transcript com…",Tue Aug 07 23:06:06 +0000 2018
37,0.4199,0.0,0.482,0.518,fantastic ms.,"@LNRBLB thank you, Eleanor! 🎉",Sat Aug 04 03:47:44 +0000 2018
38,0.4199,0.0,0.583,0.417,fantastic ms.,@cckate thank you! 💖,Sat Aug 04 03:27:03 +0000 2018
39,0.7574,0.0,0.276,0.724,fantastic ms.,"Hey #dddperth, here are the slides with all the references from my keynote about building a welcoming, ethical Web!… https://t.co/hPilGINzyI",Sat Aug 04 03:12:25 +0000 2018
40,0.0772,0.0,0.126,0.874,BBC News (World),In pictures: ‘This is the Sudan I want to show’ https://t.co/PNUWRIDphF,Tue Aug 21 23:28:19 +0000 2018
41,0.4215,0.0,0.359,0.641,BBC News (World),Facebook gives users trustworthiness score https://t.co/vo48STgpEd,Tue Aug 21 22:43:18 +0000 2018
42,0.0,0.0,0.0,1.0,BBC News (World),Spokane residents launch campaign to blow smoke back to Canada https://t.co/27EwqTYhfl,Tue Aug 21 22:17:04 +0000 2018
43,0.0,0.0,0.0,1.0,BBC News (World),A lawyer at 61: Why it's never too late to switch careers https://t.co/moYZ4xznP0,Tue Aug 21 22:06:38 +0000 2018
44,0.0,0.0,0.0,1.0,BBC News (World),Paul Manafort convicted: What did we learn from trial? https://t.co/3VxgTaqKAX,Tue Aug 21 21:50:38 +0000 2018
45,-0.743,0.24,0.0,0.76,BBC News (World),"RT @BBCBreaking: Trump's former lawyer Michael Cohen pleads guilty to violating campaign finance laws, says he did so at direction of ""the…",Tue Aug 21 21:14:52 +0000 2018
46,0.0,0.0,0.0,1.0,BBC News (World),Michael Cohen: Trump's personal lawyer who paid a porn star https://t.co/6yuEF3YE61,Tue Aug 21 21:05:56 +0000 2018
47,0.0,0.0,0.0,1.0,BBC News (World),RT @BBCJonSopel: Former @realDonaldTrump personal lawyer #MichaelCohen who paid off @StormyDaniels weeks before election #MichaelCohen says…,Tue Aug 21 20:54:54 +0000 2018
48,-0.8689,0.381,0.089,0.53,BBC News (World),"RT @BBCBreaking: Ex-Trump campaign chief Paul Manafort guilty of tax fraud charges, jury fails to reach verdict on 10 other counts https://…",Tue Aug 21 20:43:33 +0000 2018
49,0.0,0.0,0.0,1.0,BBC News (World),Pope's message ahead of Ireland visit https://t.co/teBnNCOw6r,Tue Aug 21 20:18:18 +0000 2018
50,0.0,0.0,0.0,1.0,BBC News (World),Venezuela paralysed by launch of sovereign bolivar currency https://t.co/e0rOWF017V,Tue Aug 21 20:13:05 +0000 2018
51,-0.1531,0.06,0.0,0.94,BBC News (World),"RT @awzurcher: The plea deal is the first step. The sentencing - and what, if anything, Cohen does or says to reduce his jail time - is the…",Tue Aug 21 19:51:12 +0000 2018
52,0.128,0.197,0.229,0.573,BBC News (World),Aerial photos reveal the stark divide between rich and poor https://t.co/QuDZBkiAdO,Tue Aug 21 19:47:48 +0000 2018
53,-0.8074,0.58,0.0,0.42,BBC News (World),US inmates nationwide strike to protest 'modern slavery' https://t.co/J6HcZdOLcx,Tue Aug 21 19:41:46 +0000 2018
54,0.0,0.0,0.0,1.0,BBC News (World),Christopher Steele: Defamation case against dossier author dismissed https://t.co/lOnrSm6OZu,Tue Aug 21 19:08:04 +0000 2018
55,-0.6597,0.231,0.0,0.769,BBC News (World),"RT @BBCJonSopel: Uncomfortable day for @realDonaldTrump. 
Former lawyer and Mr Fixit, #MichaelCohen due in court to plead guilty to multipl…",Tue Aug 21 18:54:06 +0000 2018
56,0.0,0.0,0.0,1.0,BBC News (World),Mystery gunman targets New York luxury high-rise https://t.co/lYGiOsWEHM,Tue Aug 21 18:45:31 +0000 2018
57,-0.8689,0.494,0.0,0.506,BBC News (World),"Spain knifeman shot dead in Barcelona was ""gay and suicidal"" https://t.co/7xFYfkqHCv",Tue Aug 21 18:19:38 +0000 2018
58,0.0,0.0,0.0,1.0,BBC News (World),RT @BBCBreaking: Former Trump lawyer Michael Cohen has entered into a plea deal with US federal prosecutors in New York - US media https://…,Tue Aug 21 18:06:53 +0000 2018
59,0.1779,0.1,0.131,0.769,BBC News (World),"RT @BBCBreaking: Oscar-winning Danny Boyle will no longer direct 25th Bond film due to ""creative differences"", producers say https://t.co/a…",Tue Aug 21 17:49:28 +0000 2018
