,tweet_vader_score,tweet_neg_score,tweet_pos_score,tweet_neu_score,tweet_source,tweet_text,tweet_date
97,-0.5859,0.174,0.0,0.826,The New York Times,"RT @peterbakernyt: Paul Manafort, President Trump’s former campaign chairman, was convicted on Tuesday in his financial fraud trial, bringi…",Tue Aug 21 21:11:06 +0000 2018
98,0.5106,0.0,0.193,0.807,The New York Times,"The verdict was a victory for the special counsel, Robert S. Mueller III, whose prosecutors built a case that Mr. M… https://t.co/dhWPMwsR5D",Tue Aug 21 20:56:00 +0000 2018
99,-0.34,0.107,0.0,0.893,The New York Times,"Breaking News: The former Trump campaign chief Paul Manafort was convicted of eight counts of fraud, but the jury c… https://t.co/xlPtL3LyWq",Tue Aug 21 20:44:21 +0000 2018
100,0.0,0.0,0.0,1.0,CNN,"¡Ay, caramba! A real-life Kwik-E-Mart store has opened https://t.co/ehx0INie7X https://t.co/umgRElnicf",Wed Aug 22 00:44:09 +0000 2018
101,0.0,0.0,0.0,1.0,CNN,"This family has been traveling the globe by sailboat for a decade, homeschooling their children and seeing the worl… https://t.co/Ab5RUNev9I",Wed Aug 22 00:41:00 +0000 2018
102,0.128,0.0,0.057,0.943,CNN,"RT @OutFrontCNN: ""I think when the President and his legal team come forward and tell their side of the story I think you are going to see…",Wed Aug 22 00:37:32 +0000 2018
103,0.0,0.0,0.0,1.0,CNN,Cowabunga! A real-life Kwik-E-Mart store has opened https://t.co/ehx0INie7X https://t.co/KwZJOQQEDV,Wed Aug 22 00:26:43 +0000 2018
104,0.0,0.0,0.0,1.0,CNN,"Ep3 of “RBG: Beyond Notorious” takes us back to the 90's, when Ginsburg was nominated by Pres. Clinton:… https://t.co/5lDXfMx8uC",Wed Aug 22 00:25:21 +0000 2018
105,0.4201,0.0,0.097,0.903,CNN,"RT @AC360: .@andersoncooper: Of all the days we have seen, we have not seen a day quite like this.

The man who once said he would take a b…",Wed Aug 22 00:23:18 +0000 2018
106,0.0,0.0,0.0,1.0,CNN,"The Eagles now have the top-selling album in history, surpassing Michael Jackson's ""Thriller""… https://t.co/luwooLyXnc",Wed Aug 22 00:21:10 +0000 2018
107,0.0,0.0,0.0,1.0,CNN,"RT @OutFrontCNN: ""My concern is that the President reacts and begins beyond just obstructing the investigation. I think he talks more serio…",Wed Aug 22 00:19:16 +0000 2018
108,0.0,0.0,0.0,1.0,CNN,"We're going to a lot of different states. And I’m coming back here before the election."" Speaking at a rally in Wes… https://t.co/5cLFn77hJT",Wed Aug 22 00:12:42 +0000 2018
109,0.0,0.0,0.0,1.0,CNN,"Facebook has taken down 652 pages, accounts and groups it says were part of a coordinated disinformation campaign.… https://t.co/yOJx9N4qY1",Tue Aug 21 23:52:22 +0000 2018
110,-0.8316,0.355,0.0,0.645,CNN,"Former Trump campaign chairman Paul Manafort was found guilty on:
• 5 counts of tax fraud
• 1 charge of hiding fore… https://t.co/Wl5WtjkyXT",Tue Aug 21 23:44:33 +0000 2018
111,-0.4215,0.128,0.0,0.872,CNN,"RT @OutFrontCNN: President Trump is holding a rally in Charleston, West Virginia, hours after his former personal attorney pleaded guilty t…",Tue Aug 21 23:37:14 +0000 2018
112,0.5106,0.0,0.148,0.852,CNN,A 3-year-old boy and his 1-year-old brother survived on their own -- possibly for days -- after being in a single-v… https://t.co/5dLvyfBZL7,Tue Aug 21 23:37:02 +0000 2018
113,0.0,0.0,0.0,1.0,CNN,"President Trump is holding a rally in Charleston, West Virginia, hours after his former personal attorney pleaded g… https://t.co/LV4efPP1ly",Tue Aug 21 23:25:23 +0000 2018
114,-0.6249,0.24,0.0,0.76,CNN,The worst hour of Donald Trump's presidency just happened | Analysis by @CillizzaCNN https://t.co/szrsbvViZw https://t.co/bXIoKwGEyC,Tue Aug 21 23:21:37 +0000 2018
115,0.0,0.0,0.0,1.0,CNN,"President Trump is holding a rally in Charleston, West Virginia, hours after his former personal attorney pleaded g… https://t.co/UNZ1pO0uP3",Tue Aug 21 23:18:06 +0000 2018
116,-0.25,0.111,0.0,0.889,CNN,"A magnitude 7.3 earthquake struck Tuesday near Yaguaraparo, off the northeastern coast of Venezuela, according to t… https://t.co/8NJGDU3KIe",Tue Aug 21 23:07:23 +0000 2018
117,-0.1027,0.109,0.092,0.798,CNN,"RT @CNNSitRoom: Senator Blumenthal says if President Trump pardons his former campaign chairman Paul Manafort, “he would be screaming to th…",Tue Aug 21 23:02:41 +0000 2018
118,0.0,0.0,0.0,1.0,CNN,"READ: Indictment of Rep. Duncan Hunter and his wife, Margaret https://t.co/BUFPbeUXsf https://t.co/3Yz0URlnf2",Tue Aug 21 22:50:06 +0000 2018
119,0.0,0.0,0.0,1.0,CNN,Lawmakers are left reeling as Capitol Hill digests Paul Manafort and Michael Cohen cases https://t.co/92qXYmJ7LD https://t.co/FtpjLFNYMF,Tue Aug 21 22:40:08 +0000 2018
120,0.2732,0.0,0.095,0.905,fantastic ms.,"A friendly reminder that Guetzli, Google’s open source JPEG encoder, might be slower but can yield even up to 50% a… https://t.co/FN26irQYi8",Tue Aug 21 23:51:22 +0000 2018
121,-0.204,0.233,0.147,0.619,fantastic ms.,"Lazy loading content can be a very powerful performance strategy. Unfortunately, often it’s complicated to implemen… https://t.co/ZHbSmxFB25",Mon Aug 20 23:03:43 +0000 2018
122,0.7717,0.0,0.283,0.717,fantastic ms.,"👋🏻I’m selling a bit of Apple gear in excellent condition, Melbourne only. Retweets welcome. Reply or email if you’r… https://t.co/Kift5NHw9e",Mon Aug 20 00:00:09 +0000 2018
123,-0.6072,0.189,0.0,0.811,fantastic ms.,"@j2h @benschwarz I get off twitter and this is what happens? what is this bromance, Josh??? should I feel threatened? 😂",Thu Aug 09 04:56:06 +0000 2018
124,-0.1027,0.172,0.151,0.677,fantastic ms.,"We all need a bit of good news in those disturbing times—here’s where @goodgoodgood delivers. 

https://t.co/T5qhMKd4aY",Wed Aug 08 02:12:41 +0000 2018
125,0.128,0.0,0.091,0.909,fantastic ms.,"I travel a bit and carefully choose where I stay, eat and go (uh, the designer struggle). I 😍 @sabrina’s… https://t.co/f43vmBg3DW",Wed Aug 08 02:10:53 +0000 2018
126,-0.1945,0.153,0.118,0.728,fantastic ms.,I’ve recently subscribed to @jkglei’s newsletter and never looked back. Love the focus on thoughtful technology and… https://t.co/m28bMmSEBV,Wed Aug 08 02:08:41 +0000 2018
127,0.8316,0.0,0.404,0.596,fantastic ms.,"If customer success, culture, growth and product are your jam, I couldn’t recommend @helpscout’s newsletters more.… https://t.co/8ji9mKMLeX",Wed Aug 08 02:07:07 +0000 2018
128,0.5267,0.0,0.167,0.833,fantastic ms.,"I have been enjoying @intercom newsletters for product, marketing and startup tips. The quality has always been ama… https://t.co/fA9fw1KXIt",Wed Aug 08 01:59:38 +0000 2018
129,0.7717,0.0,0.324,0.676,fantastic ms.,"The Daily Good from @thegoodtrade covers conscious, sustainable fashion, wellbeing, beauty, food, lifestyle and tra… https://t.co/qmAOyGcm9i",Wed Aug 08 01:57:04 +0000 2018
130,0.5719,0.0,0.188,0.812,fantastic ms.,Friday is one of my favourite days because of @girlsnightinHQ. A perfect encapsulation of self-care and womanhood.… https://t.co/HhI1mGfXe8,Wed Aug 08 01:54:45 +0000 2018
131,0.9201,0.0,0.464,0.536,fantastic ms.,"I love @offscreenmag Dispatch. Great productivity tools, services and design objects all wrapped up in a lovely des… https://t.co/lR8tsWKGNw",Wed Aug 08 01:50:21 +0000 2018
132,0.0,0.0,0.0,1.0,fantastic ms.,Here are my favourite newsletters (it’s now the primary way I discover content as I’ve mostly ditched reading social media). ↓,Wed Aug 08 01:48:16 +0000 2018
